,job_no,roles,companies,locations,experience,salaries,skills
0,1,"data scientist, marketing",coursera,"kolkata, mumbai, new delhi, hyderabad/secunderabad, pune, chennai, bangalore/bengaluru",4-6 yrs,not disclosed,"data analysis,data science,troubleshooting,analytics,monitoring,sql,python,salesforce"
1,2,data scientist,tech mahindra,"hybrid - hyderabad, pune, bengaluru",6-10 yrs,not disclosed,"ml engineer,deep learning,generarative ai,genai,mlops,ml ops,natural language processing,cloud"
2,3,data scientist-senior associate - p&t labs,pwc service delivery center,"mumbai, hyderabad, bengaluru",4-6 yrs,not disclosed,"automation,gcp,analytical,process improvement,machine learning,signal processing,data mining,sql"
3,4,data scientist,infosys,"hybrid - hyderabad, pune, bengaluru",4-8 yrs,not disclosed,"oops,machine learning,python,data,machine"
4,5,data scientist hthd,ford,"kolkata, mumbai, new delhi, hyderabad, pune, chennai, bengaluru",1-4 yrs,not disclosed,"computer science,gcp,analytical,artificial intelligence,agile,algorithm development,business solutions,operations"
5,6,nlp data scientist - real world data (rwd),agilite global solutions,"kolkata, mumbai, new delhi, hyderabad/secunderabad, pune, chennai, bangalore/bengaluru",7-8 yrs,not disclosed,"computer science,health insurance,pharma,analytical,agile,healthcare,life sciences,open source"
6,7,ds - nlp expert,genpact,"hyderabad, telangana, gurugram, haryana, bangalore/ bengaluru, karnataka",6-11 yrs,not disclosed,"natural language processing,nltk,rnn,lstm,llms,artificial intelligence,text mining,bert"
7,8,generative ai data scientist,genpact,"hyderabad, gurugram, bengaluru",8-13 yrs,not disclosed,"generative ai,llm,predictive modeling,natural language processing,computer vision,machine learning,processing,vision"
8,9,advisory service senior consultant - data scientist,optum,hyderabad,8-12 yrs,not disclosed,"machine learning,algorithms,data science,natural language processing,pandas,scikit-learn,data structures,spark"
9,10,lead data scientist,cornerstone,"mumbai, hyderabad, pune",6-9 yrs,not disclosed,"artificial intelligence,natural language processing,machine learning,processing,intelligence,languages,process,machine"
10,11,principal data scientist,optum,hyderabad,7-12 yrs,not disclosed,"career development,deep learning,diversity and inclusion,machine learning,manager technology,healthcare,subject matter expertise,forecasting"
11,12,advisory service senior consultant- data scientist,optum,hyderabad,8-9 yrs,not disclosed,"mining,statistical programming,computer science,career development,business transformation,team management,machine learning,issue resolution"
12,13,hexaware_ looking immediate joiners -data scientist nlp/genai_panindia,hexaware technologies,"hybrid - navi mumbai, pune, chennai",4-9 yrs,not disclosed,"genai,llm,data scientist,transformers,bert,machine learning,deep learning,data science"
13,14,data scientist,response informatics,"kolkata, mumbai, new delhi, hyderabad, pune, chennai, bengaluru",0-5 yrs,not disclosed,"deep learning,tdd,deployment,natural language processing,test driven development,mongodb,sql,python"
14,15,data scientist-immediate joiner-l1(hackerrank)-please check your email,altimetrik,"hybrid - hyderabad, chennai, bengaluru",5-8 yrs,not disclosed,"python,nlp,generative ai,machine learning,sql,email,natural language processing,check"
15,16,nrm - price and promo - data scientist,pepsico,hyderabad,6-9 yrs,not disclosed,"data analytics,r,excel,power bi,pricing,revenue management,data visualization,machine learning"
16,17,data scientist,digital glyde,"kolkata, mumbai, new delhi, hyderabad, pune, chennai, bengaluru",3-7 yrs,not disclosed,"data analysis,operations research,social science,analytical,report writing,mysql,cloud,database"
17,18,associate manager / senior data scientist (cpg),trendence,"kolkata, mumbai, new delhi, hyderabad, pune, chennai, bengaluru",5-11 yrs,not disclosed,"data analysis,data management,analytical,machine learning,data structures,predictive modeling,troubleshooting,data mining"
18,19,data scientist,coders brain pvt ltd,"kolkata, mumbai, new delhi, hyderabad, pune, chennai, bengaluru",5-10 yrs,not disclosed,"hypothesis testing,predictive modeling,predictive,hypothesis,data,modeling,software testing"
19,20,data scientist professional,coders brain pvt ltd,"kolkata, mumbai, new delhi, hyderabad/secunderabad, pune, chennai, bangalore/bengaluru",5-9 yrs,not disclosed,"deep learning,payroll,data management,neural networks,artificial intelligence,consulting,machine learning,aws"
20,21,"data scientist, marketing",coursera,"kolkata, mumbai, new delhi, hyderabad/secunderabad, pune, chennai, bangalore/bengaluru",4-6 yrs,not disclosed,"data analysis,data science,troubleshooting,analytics,monitoring,sql,python,salesforce"
21,22,data scientist,tech mahindra,"hybrid - hyderabad, pune, bengaluru",6-10 yrs,not disclosed,"ml engineer,deep learning,generarative ai,genai,mlops,ml ops,natural language processing,cloud"
22,23,data scientist-senior associate - p&t labs,pwc service delivery center,"mumbai, hyderabad, bengaluru",4-6 yrs,not disclosed,"automation,gcp,analytical,process improvement,machine learning,signal processing,data mining,sql"
23,24,data scientist,infosys,"hybrid - hyderabad, pune, bengaluru",4-8 yrs,not disclosed,"oops,machine learning,python,data,machine"
24,25,data scientist hthd,ford,"kolkata, mumbai, new delhi, hyderabad, pune, chennai, bengaluru",1-4 yrs,not disclosed,"computer science,gcp,analytical,artificial intelligence,agile,algorithm development,business solutions,operations"
25,26,nlp data scientist - real world data (rwd),agilite global solutions,"kolkata, mumbai, new delhi, hyderabad/secunderabad, pune, chennai, bangalore/bengaluru",7-8 yrs,not disclosed,"computer science,health insurance,pharma,analytical,agile,healthcare,life sciences,open source"
26,27,ds - nlp expert,genpact,"hyderabad, telangana, gurugram, haryana, bangalore/ bengaluru, karnataka",6-11 yrs,not disclosed,"natural language processing,nltk,rnn,lstm,llms,artificial intelligence,text mining,bert"
27,28,generative ai data scientist,genpact,"hyderabad, gurugram, bengaluru",8-13 yrs,not disclosed,"generative ai,llm,predictive modeling,natural language processing,computer vision,machine learning,processing,vision"
28,29,advisory service senior consultant - data scientist,optum,hyderabad,8-12 yrs,not disclosed,"machine learning,algorithms,data science,natural language processing,pandas,scikit-learn,data structures,spark"
29,30,lead data scientist,cornerstone,"mumbai, hyderabad, pune",6-9 yrs,not disclosed,"artificial intelligence,natural language processing,machine learning,processing,intelligence,languages,process,machine"
30,31,principal data scientist,optum,hyderabad,7-12 yrs,not disclosed,"career development,deep learning,diversity and inclusion,machine learning,manager technology,healthcare,subject matter expertise,forecasting"
31,32,advisory service senior consultant- data scientist,optum,hyderabad,8-9 yrs,not disclosed,"mining,statistical programming,computer science,career development,business transformation,team management,machine learning,issue resolution"
32,33,hexaware_ looking immediate joiners -data scientist nlp/genai_panindia,hexaware technologies,"hybrid - navi mumbai, pune, chennai",4-9 yrs,not disclosed,"genai,llm,data scientist,transformers,bert,machine learning,deep learning,data science"
33,34,data scientist,response informatics,"kolkata, mumbai, new delhi, hyderabad, pune, chennai, bengaluru",0-5 yrs,not disclosed,"deep learning,tdd,deployment,natural language processing,test driven development,mongodb,sql,python"
34,35,data scientist-immediate joiner-l1(hackerrank)-please check your email,altimetrik,"hybrid - hyderabad, chennai, bengaluru",5-8 yrs,not disclosed,"python,nlp,generative ai,machine learning,sql,email,natural language processing,check"
35,36,nrm - price and promo - data scientist,pepsico,hyderabad,6-9 yrs,not disclosed,"data analytics,r,excel,power bi,pricing,revenue management,data visualization,machine learning"
36,37,data scientist,digital glyde,"kolkata, mumbai, new delhi, hyderabad, pune, chennai, bengaluru",3-7 yrs,not disclosed,"data analysis,operations research,social science,analytical,report writing,mysql,cloud,database"
37,38,associate manager / senior data scientist (cpg),trendence,"kolkata, mumbai, new delhi, hyderabad, pune, chennai, bengaluru",5-11 yrs,not disclosed,"data analysis,data management,analytical,machine learning,data structures,predictive modeling,troubleshooting,data mining"
38,39,data scientist,coders brain pvt ltd,"kolkata, mumbai, new delhi, hyderabad, pune, chennai, bengaluru",5-10 yrs,not disclosed,"hypothesis testing,predictive modeling,predictive,hypothesis,data,modeling,software testing"
39,40,data scientist professional,coders brain pvt ltd,"kolkata, mumbai, new delhi, hyderabad/secunderabad, pune, chennai, bangalore/bengaluru",5-9 yrs,not disclosed,"deep learning,payroll,data management,neural networks,artificial intelligence,consulting,machine learning,aws"
40,41,lead data scientist,sendhelper,"kolkata, mumbai, new delhi, hyderabad/secunderabad, pune, chennai, bangalore/bengaluru",7-11 yrs,not disclosed,"computer vision,orchestration,data science,gcp,artificial intelligence,machine learning,data structures,application development"
41,42,data scientist,ltimindtree,"hybrid - hyderabad, pune",4-9 yrs,not disclosed,"ai algorithms,machine learning,python,machine learning algorithms,computer vision,deep learning,computer,artificial intelligence"
42,43,big data solution,coders brain pvt ltd,"kolkata, mumbai, new delhi, hyderabad, pune, chennai, bengaluru",2-14 yrs,not disclosed,"nosql,finance,machine learning,programming,data visualization,big data,financial services,sql"
43,44,lead data scientist,netomi,"kolkata, mumbai, new delhi, hyderabad/secunderabad, pune, chennai, bangalore/bengaluru",5-8 yrs,not disclosed,"logistic regression,lms,neural networks,artificial intelligence,machine learning,data processing,information retrieval,customer service"
44,45,data scientist,open insights,"kolkata, mumbai, new delhi, hyderabad/secunderabad, pune, chennai, bangalore/bengaluru",3-6 yrs,not disclosed,"c++,linux,agile scrum,machine learning,programming,object oriented programming,statistics,sql"
45,46,solution architect,scribble data,"kolkata, mumbai, new delhi, hyderabad, pune, chennai, bengaluru",1-2 yrs,not disclosed,"nosql,data science,time series analysis,customer engagement,matlab,solution architect,sql,python"
46,47,data scientist,tiger analytics,"hybrid - hyderabad, chennai, bengaluru",5-7 yrs,not disclosed,"data science,classification,regression,machine learning,python,predictive modeling,machine learning algorithms,statistical analyses"
47,48,principal it data scientist - r/python,medtronic,hyderabad,10-12 yrs,not disclosed,"supply chain,global operations,automation,machine learning,data collection,manager technology,healthcare,natural language processing"
48,49,data scientist,ea games (electronic arts),hyderabad,3-8 yrs,not disclosed,"data science,nlp,software engineering,data scientist,natural language processing,computer science,machine learning,deep learning"
49,50,advanced data scientist,honeywell,hyderabad,4-6 yrs,not disclosed,"computer science,automation,analytical,artificial intelligence,machine learning,strategic planning,project planning,information management"
50,51,data scientist- lead,salesforce,hyderabad,6-11 yrs,not disclosed,"capacity management,data analysis,automation,analytical,business intelligence,forecasting,analytics,monitoring"
51,52,ai & gen ai data scientist,honeywell,hyderabad,4-6 yrs,not disclosed,"computer science,computer vision,deep learning,networking,aerospace,machine learning,natural language processing,sql"
52,53,python data scientist,wizaltia hr solutions,"kolkata, mumbai, new delhi, hyderabad, pune, chennai, bengaluru",2-7 yrs,not disclosed,"computer science,analytical skills,data analysis,usage,artificial intelligence,programming,manager technology,data analytics"
53,54,data scientist,keeptruckin,"kolkata, mumbai, new delhi, hyderabad, pune, chennai, bengaluru",4-7 yrs,not disclosed,"computer science,statistical programming,data analysis,data science,machine learning,telematics,statistics,sql"
54,55,lotus interworks - data scientist,lotus interworks inc,"kolkata, mumbai, hyderabad, pune, chennai, ahmedabad, delhi / ncr, bengaluru",1-5 yrs,not disclosed,"data science,java,ggplot,data analysis,c,periscope,tableau,business objects"
55,56,data scientist,aurigo software technologies,"kolkata, mumbai, new delhi, hyderabad, pune, chennai, bengaluru",4-8 yrs,not disclosed,"deep learning,product engineering,sql database,machine learning,cloud,natural language processing,data mining,aws"
56,57,principal data scientist,blink health,"kolkata, mumbai, new delhi, hyderabad, pune, chennai, bengaluru",3-6 yrs,not disclosed,"supply chain,automation,financial reporting,pharma,healthcare,predictive modeling,business intelligence,digital marketing"
57,58,data scientist,kmart,"kolkata, mumbai, new delhi, hyderabad, pune, chennai, bengaluru",3-5 yrs,not disclosed,"logistic regression,data management,data science,agile development,linear regression,programming,information architecture,sql"
58,59,data scientist,kas services,"kolkata, mumbai, new delhi, hyderabad, pune, chennai, bengaluru",3-5 yrs,not disclosed,"logistic regression,data management,data science,agile development,linear regression,programming,information architecture,sql"
59,60,data scientist,rapid canvas,"kolkata, mumbai, new delhi, hyderabad, pune, chennai, bengaluru",4-9 yrs,not disclosed,"computer science,operations research,data science,gcp,machine learning,sage,data mining,aws"
60,61,data scientist,thrasio,"kolkata, mumbai, new delhi, hyderabad, pune, chennai, bengaluru",5-9 yrs,not disclosed,"product management,supply chain,operations research,simulation,machine learning,forecasting,downstream,sql"
61,62,data scientist,response informatics,"kolkata, mumbai, new delhi, hyderabad, pune, chennai, bengaluru",8-9 yrs,not disclosed,"computer vision,deep learning,data science,focus,machine learning,programming,natural language processing,python"
62,63,data scientist,scienaptic systems,"kolkata, mumbai, new delhi, hyderabad, pune, chennai, bengaluru",2-7 yrs,not disclosed,"business process,loans,business analytics,analytical,finance,credit underwriting,credit risk management,sql"
63,64,data scientist,intersoft kk,"kolkata, mumbai, new delhi, hyderabad, pune, chennai, bengaluru",2-5 yrs,not disclosed,"computer vision,gcp,artificial intelligence,mysql,machine learning,php,data structures,sql"
64,65,data scientist,response informatics,"kolkata, mumbai, new delhi, hyderabad, pune, chennai, bengaluru",4-7 yrs,not disclosed,"training,data analysis,data science,machine learning,infrastructure,programming,model development,deployment"
65,66,senior data scientist,kmart,"kolkata, mumbai, new delhi, hyderabad, pune, chennai, bengaluru",4-7 yrs,not disclosed,"logistic regression,data management,data science,agile development,linear regression,programming,information architecture,sql"
66,67,senior data scientist,kas services,"kolkata, mumbai, new delhi, hyderabad, pune, chennai, bengaluru",4-7 yrs,not disclosed,"logistic regression,data management,data science,agile development,linear regression,programming,information architecture,sql"
67,68,lead data scientist,elitefit.ai,"kolkata, mumbai, new delhi, hyderabad, pune, chennai, bengaluru",3-7 yrs,not disclosed,"pilot,prototype,simulation,data science,machine learning,mentor,management,operations"
68,69,principal data scientist,response informatics,"kolkata, mumbai, new delhi, hyderabad, pune, chennai, bengaluru",12-15 yrs,not disclosed,"data science,pharma,machine learning,healthcare,microsoft,big data,analytics,python"
69,70,lead data scientist,response informatics,"kolkata, mumbai, new delhi, hyderabad, pune, chennai, bengaluru",3-8 yrs,not disclosed,"data analysis,prototype,data science,analytical,machine learning,scala,hypothesis testing,deployment"
70,71,data scientist,kashsam data solutions,"kolkata, mumbai, new delhi, hyderabad, pune, chennai, bengaluru",3-7 yrs,not disclosed,"data analysis,coding,process improvement,data governance,management,process,improvement,analysis"
71,72,data scientist,wsd consultant,"mumbai, hyderabad, pune, chennai, gurugram, bengaluru",1-5 yrs,not disclosed,"e-learning,data science,application programming,artificial intelligence,machine learning,manager technology,doctor,management"
72,73,nlp data scientist - real world data (rwd),agilite global solutions,"kolkata, mumbai, new delhi, hyderabad, pune, chennai, bengaluru",3-8 yrs,not disclosed,"computer science,health insurance,pharma,analytical,agile,healthcare,life sciences,open source"
73,74,sr . data scientist,enlink,"mumbai, navi mumbai, hyderabad, pune, chennai, bengaluru",2-5 yrs,not disclosed,"computer science,front end,data modeling,mis,javascript,data structures,html,unit testing"
74,75,data scientist,the it mind services,"kolkata, mumbai, hyderabad, new delhi, pune, chennai, bengaluru",4-12 yrs,not disclosed,"machine learning,data collection,data visualization,collections,machine,data"
75,76,consultant/senior consultant - fraud risk model,tiger analytics,"hyderabad, chennai, bengaluru",2-8 yrs,not disclosed,"sas,coding,machine learning,data structures,healthcare,analytics,monitoring,financial services"
76,77,senior / lead data scientist,tiger analytics,"hyderabad, chennai, bengaluru",6-10 yrs,not disclosed,"backend,data science,machine learning,lead,model development,continuous improvement,analytics,project execution"
77,78,data scientist+gen ai // bangalore/hyderabad/chennai,wow softech,"hybrid - hyderabad, chennai, bengaluru",5-10 yrs,30-35 lacs pa,"data science,gen ai,machine learning,aws,deep learning,science,gen,artificial intelligence"
78,79,senior data scientist (technology lead),tiger analytics,"hybrid - hyderabad, chennai, bengaluru",7-10 yrs,not disclosed,"data science,python,nlp,solutioning,machine learning,science,technology,senior"
79,80,sr. data scientist,eze software group,hyderabad,3-7 yrs,not disclosed,"project management,artificial intelligence,machine learning,agile,healthcare,natural language processing,analytics,financial services"
80,81,senior data scientist (technology lead),tiger analytics,"hyderabad, chennai, bengaluru",7-10 yrs,not disclosed,"data science,artificial intelligence,consulting,machine learning,data collection,application development,data analytics,risk management"
81,82,data scientist - phd,atg business solutions,"hyderabad, bengaluru, mumbai (all areas)",1-4 yrs,8-15 lacs pa,"data science,deep learning,artificial intelligence,machine learning,machine,intelligence,science,data"
82,83,data science consultant,mnc consulting firm,"hyderabad, gurugram, bengaluru",5-8 yrs,18-25 lacs pa,"data science,genai,r,nlp,data,prompt,llm,python"
83,84,data scientist,nityo infotech,"kolkata, mumbai, new delhi, hyderabad, pune, chennai, bengaluru",13-20 yrs,not disclosed,"cloud computing,c++,analytical,machine learning,scala,data privacy,data visualization,object oriented programming"
84,85,python and ml trainer,the scholar,"hyderabad, new delhi, pune, gurugram, bengaluru",3-8 yrs,not disclosed,"training,deep learning,version control,git,min,linux,django,machine learning"
85,86,data scientist,aeries technology,"mumbai, hyderabad, bengaluru",2-6 yrs,not disclosed,"supply chain,operations research,analytical,consulting,machine learning,data visualization,data mining,sql"
86,87,data scientist,deloitte,"mumbai, bengaluru, delhi / ncr",4-9 yrs,not disclosed,"data scientist,regression,clustering,machine learning,python,r,decision tree,scala"
87,88,data scientist,tata consultancy services (tcs),"kolkata, bangalore rural, mumbai (all areas)",5-9 yrs,not disclosed,"data science,r,machine learning algorithms,ml algorithms,machine learning,r program,python,science"
88,89,manager - infotech (data scientist),lupin,mumbai,6-11 yrs,not disclosed,"pilot,advanced analytics,prototype,simulation,business design,machine learning,model development,operations"
89,90,manager - infotech (data scientist),lupin,mumbai,5-10 yrs,not disclosed,"pilot,advanced analytics,prototype,simulation,machine learning,model development,operations,management"
90,91,manager - infotech (data scientist),lupin,mumbai,5-10 yrs,not disclosed,"advanced analytics,deep learning,prototype,simulation,machine learning,agile,operations,analytics"
91,92,data science,value vision management consultant,"hybrid - kolkata, hyderabad, bengaluru",6-11 yrs,not disclosed,"genai,convo ai,supply chain,data science,cpg,hia,data consultant,forecasting"
92,93,data scientist,ericsson,bengaluru,0-3 yrs,not disclosed,"data analysis,data validation,coding,neural networks,machine learning,data quality,forecasting,sql"
93,94,data scientist,neudesic technologies,"kochi, hyderabad/ secunderabad, bangalore/bengaluru",5-8 yrs,not disclosed,"predictive modeling,open ai,azure machine learning,deep learning,python,data,microsoft azure,predictive"
94,95,data scientist,crisil,"mumbai, pune",2-4 yrs,not disclosed,"text mining,computer science,computer vision,data analysis,data science,neural networks,artificial intelligence,machine learning"
95,96,data scientist consultant,confidential,"hyderabad, telangana, pune, maharashtra, bengaluru, karnataka",6-11 yrs,7-17 lacs pa,"data science,data structures,big data,data quality,data management,data analysis,data extraction,data maintenance"
96,97,data scientist,wipro,"pune, chennai, bengaluru",6-11 yrs,not disclosed,"data science,data mining,statistics,machine learning,predictive analytics,data,science,predictive"
97,98,data scientist,techplus media,"hybrid - hyderabad, bengaluru, mumbai (all areas)",2-5 yrs,15-25 lacs pa,"social media,customer analytics,data mining,python,sql,quantitative analysis,customer service,quantitative"
98,99,data scientist,bizongo,mumbai,2-3 yrs,not disclosed,"text mining,coding,neural networks,business analytics,machine learning,predictive modeling,natural language processing,analytics"
99,100,lead data scientist- gen ai,straive,"hybrid - hyderabad, bengaluru",7-12 yrs,not disclosed,"aws sagemaker,tensorflow,gen ai,nlp,pytorch,advanced nlp,azure machine learning,machine learning"
100,101,senior lead data scientist,pixel pros,"hyderabad, bangalore rural, chennai",7-12 yrs,20-35 lacs pa,"nlp,natural language processing,aiml,python,sql,languages,processing,process"
101,102,lead data scientist,baker hughes,bengaluru,9-14 yrs,not disclosed,"data analysis,artificial intelligence,signal processing,agile,manager technology,industrial engineering,digital strategy,analytics"
102,103,senior data scientist,kpi partners,"hyderabad, bengaluru",6-10 yrs,not disclosed,"training,continuous integration,data analysis,git,web services,data science,artificial intelligence,machine learning"
103,104,senior/ lead data scientist - quant,tiger analytics,"hyderabad, chennai",6-12 yrs,not disclosed,"data science,process documentation,analytical,consulting,machine learning,senior lead,data analytics,individual contributor"
104,105,intern,aryma labs,"hyderabad, ahmedabad, bengaluru",no fixed duration,unpaid,na
105,106,data scientist,tiger analytics,"hyderabad, chennai",4-7 yrs,not disclosed,"git,data science,gcp,analytical,production engineering,consulting,machine learning,silicon"
106,107,ai / ml data scientist,itranscend educational initiatives,hyderabad,3-6 yrs,not disclosed,"matplotlib,nlp,bert word embeddings,word2vec,python,tensorflow,pytorch,keras"
107,108,data scientist,covalense global,"hyderabad, bengaluru",3-8 yrs,not disclosed,"machine learning,data collection,data visualization,data,collections,machine"
108,109,nlp data scientist,heaps health solutions india,"hyderabad, bengaluru",2-3 yrs,not disclosed,"basic,data analysis,version control,git,gcp,programming,healthcare,technology solutions"
109,110,data scientist,heaps health solutions india,"hyderabad, bengaluru",1-4 yrs,not disclosed,"data analysis,version control,git,data science,gcp,analytical,machine learning,data mining"
110,111,lead - data scientist,quince corporate services,"hyderabad, bengaluru",8-10 yrs,not disclosed,"unix,computer science,linux,coding,machine learning,customer service,analytics,sql"
111,112,data scientist,moodle india information solutions,remote,6-8 yrs,12-16 lacs pa,"python,r,sql,data"
112,113,data scientist,net2source,hyderabad,6-11 yrs,not disclosed,"data science,artificial intelligence,natural language processing,computer vision,machine learning,ml,process,computer"
113,114,staff data scientist,plume design,hyderabad,1-3 yrs,not disclosed,"data analysis,architecture,machine learning,silicon,open source,wifi,distribution system,sql"
114,115,senior data scientist,osttra,hyderabad,8-12 yrs,not disclosed,"supply chain,computer science,front end,pdf,analytical,workforce planning,javascript,workflow"
115,116,data scientist,fusion plus solutions inc,hyderabad,3-6 yrs,not disclosed,"deep learning,data science,devops,machine learning,cloud,data collection,infrastructure,deployment"
116,117,senior data scientist,microsoft,hyderabad,5-9 yrs,not disclosed,"github,artificial intelligence,machine learning,system design,natural language processing,microsoft,stakeholder management,forecasting"
117,118,data scientist,protiviti india,hyderabad,6-10 yrs,10-19 lacs pa,"data science,r,excel,science,data"
118,119,data scientists,pratibha analytics,hyderabad,2-7 yrs,not disclosed,"help desk,customer service,customer relationship,access controls,telephony support,asset management,vendor management,information"
